year,age
75,71.8
76,72.1
77,71.4
78,72.5
79,74.2
80,74
81,73.8
82,74.6
83,74.1
84,75.2
85,75.8
86,75.9
87,76.1
88,77
89,76.4
90,76.8
91,77.7
92,78.1
93,78.4
94,78.2
95,78
96,78.3
97,78.8
98,78.8
99,79.2
100,79.2
101,79.2
102,79.7
103,79.8
