year,age
75,59.7
76,59.7
77,60
78,60.2
79,60.2
80,60.4
81,61.5
82,61.3
83,61.6
84,62.8
85,62.8
86,63.5
87,64
88,64.3
89,64.4
90,65
91,65.5
92,66.1
93,65.9
94,66.4
95,66.5
96,67.3
97,66.9
98,67.3
99,67.6
100,67.9
101,68.1
102,68.3
103,68.5
