year,age
75,62
76,61.6
77,61.9
78,62.9
79,61.9
80,62.5
81,63.4
82,63.4
83,64.2
84,65.3
85,65.7
86,66.1
87,67
88,67
89,67.3
90,68.6
91,68
92,69
93,69
94,69.8
95,69.7
96,71.1
97,70.3
98,71
99,71.2
100,71.9
101,72.4
102,72.5
103,72.5
