year,age
75,58.7
76,57.2
77,57.9
78,57
79,57.4
80,56.1
81,54.9
82,55.4
83,55.4
84,54.9
85,55.5
86,54.9
87,54.3
88,54.1
89,54.8
90,55
91,54.9
92,55.9
93,55.3
94,55.9
95,55.6
96,55.4
97,56.1
98,56.4
99,57.6
100,57.5
101,57.3
102,58.2
103,58.4
