year,age
75,64.1
76,65.4
77,63.8
78,65.1
79,64.4
80,64.5
81,66.4
82,66.6
83,66.7
84,68.7
85,67.2
86,69.1
87,67.8
88,67.8
89,68.9
90,70.3
91,69
92,68.5
93,69
94,69.9
95,70.3
96,70.2
97,71
98,70.2
99,71
100,70.5
101,70.8
102,70.8
103,71.1
