year,age
75,60.3 
76,60.6 
77,60.9 
78,61.2 
79,61.6 
80,62.1 
81,62.5 
82,62.7 
83,63.0 
84,63.4 
85,64.2 
86,64.1 
87,64.5 
88,64.7 
89,65.2 
90,65.4 
91,65.4 
92,65.7 
93,66.0 
94,66.3 
95,66.3 
96,66.6 
97,66.5 
98,66.8 
99,67.2 
100,67.3 
101,67.5 
102,67.6 
103,67.8 
