year,age
75,53.9
76,54.6
77,53
78,54.6
79,55.6
80,54.8
81,56.5
82,55.4
83,56.4
84,57
85,59.4
86,60
87,58.6
88,58.3
89,58
90,58.8
91,59.8
92,59.8
93,59.5
94,59.8
95,59.3
96,60.7
97,60.1
98,60.4
99,60.2
100,60.1
101,60.2
102,60.9
103,60.6
